column,datatype,Constraints,description,Extra
pokemon_id,int,NOT NULL REFERENCES pokemon(pokemon_id),,
type_id,int,NOT NULL REFERENCES type(type_id) ON DELETE CASCADE,,
sort_id,int,NOT NULL REFERENCES raid_sort(sort_id) ON DELETE CASCADE,,
including_shadow,BOOL,NOT NULL,,
including_legendary,BOOL,NOT NULL,,
including_mega,BOOL,NOT NULL,,
rank,int,NOT NULL,! updates may be complicated,
sim_url,text,NOT NULL,https://www.pokebattler.com/raids/defenders/ABOMASNOW_MEGA/levels/RAID_LEVEL_MEGA/attackers/levels/40/strategies/CINEMATIC_ATTACK_WHEN_POSSIBLE/DEFENSE_RANDOM_MC?sort=ESTIMATOR&weatherCondition=CLEAR&dodgeStrategy=DODGE_REACTION_TIME&aggregation=AVERAGE&includeLegendary=true&includeShadow=true&includeMegas=true&attackerTypes=POKEMON_TYPE_ALL&primalAssistants=&friendLevel=FRIENDSHIP_LEVEL_1&numParty=1',
,,"PRIMARY KEY (type_id, pokemon_id, sort_id, including_shadow, including_legendary, including_mega)",,
